ds,the_magic_carpets_of_aladdin,a_pirates_adventure_treasures_of_the_seven_seas,astro_orbiter,dumbo_the_flying_elephant,date
9/26/2019 17:20,20.92901175,-0.037144018,30.6658196,27.09852056,9/26/2019
9/26/2019 18:20,20.73671194,-0.04529449,30.27672752,24.43757828,9/26/2019
9/26/2019 19:20,17.76254356,-0.051222792,28.44299498,19.77390768,9/26/2019
9/26/2019 20:20,12.66990239,-0.052755986,25.16438554,13.99784167,9/26/2019
9/26/2019 21:20,7.191726837,-0.051157872,20.65492606,8.43977817,9/26/2019
9/27/2019 8:20,-3.381871206,-0.049156254,7.582525665,-2.237017067,9/27/2019
9/27/2019 9:20,3.674687167,-0.049313709,16.94840367,5.496404425,9/27/2019
9/27/2019 10:20,12.92379294,-0.050832798,26.8660176,15.63859898,9/27/2019
9/27/2019 11:20,20.6989656,-0.052124863,33.7648785,24.70436882,9/27/2019
9/27/2019 12:20,24.06892222,-0.050496055,35.93052321,29.88372677,9/27/2019
9/27/2019 13:20,22.94945925,-0.04473066,34.39498444,30.83724667,9/27/2019
9/27/2019 14:20,19.9712248,-0.036919394,31.80551067,29.49974507,9/27/2019
9/27/2019 15:20,18.22904937,-0.03155144,30.36302612,28.18941595,9/27/2019
9/27/2019 16:20,18.85876126,-0.032302497,30.51804472,27.74103894,9/27/2019
9/27/2019 17:20,20.44557156,-0.039159775,31.22824345,27.20520136,9/27/2019
9/27/2019 18:20,20.5637183,-0.048384089,31.16758247,25.13094861,9/27/2019
9/27/2019 19:20,17.90251536,-0.055364175,29.65736467,21.06119675,9/27/2019
9/27/2019 20:20,13.12170761,-0.057909944,26.69374055,15.87984075,9/27/2019
9/27/2019 21:20,7.950585157,-0.057268245,22.48720236,10.91077051,9/27/2019
9/28/2019 8:20,-0.474928039,-0.058086242,11.13261012,4.628979004,9/28/2019
9/28/2019 9:20,6.603917374,-0.057566137,20.45956141,12.45014145,9/28/2019
9/28/2019 10:20,15.84123528,-0.058241101,30.30301531,22.61577558,9/28/2019
9/28/2019 11:20,23.57067429,-0.058527317,37.09320237,31.64012603,9/28/2019
9/28/2019 12:20,26.86148243,-0.055737919,39.11676072,36.71336556,9/28/2019
9/28/2019 13:20,25.63038255,-0.048666274,37.40719291,37.49694468,9/28/2019
